bin_name,slice,cluster_id,sct_ncount
bin-17,56,32,32
bin-18,56,5,5
bin-19,56,26,26
bin-20,56,7,7
bin-21,56,2,2
bin-22,56,2,2
bin-23,56,2,2
bin-24,56,2,2
bin-25,56,2,2
bin-26,56,5,5
bin-27,56,2,2
bin-28,56,2,2
bin-29,56,7,7
bin-61,56,21,21
bin-62,56,2,2
bin-63,56,8,8
bin-64,56,5,5
bin-65,56,2,2
bin-66,56,2,2
bin-67,56,2,2
bin-68,56,2,2
bin-69,56,2,2
bin-70,56,2,2
bin-71,56,2,2
bin-72,56,2,2
bin-73,56,2,2
bin-74,56,2,2
bin-75,56,2,2
bin-76,56,7,7
bin-77,56,2,2
bin-105,56,5,5
bin-106,56,7,7
bin-107,56,5,5
bin-108,56,2,2
bin-109,56,5,5
bin-110,56,23,23
bin-111,56,0,0
bin-112,56,2,2
bin-113,56,2,2
bin-114,56,2,2
bin-115,56,2,2
bin-116,56,2,2
bin-117,56,2,2
bin-118,56,2,2
bin-119,56,2,2
bin-120,56,2,2
bin-121,56,2,2
bin-122,56,2,2
bin-123,56,2,2
bin-124,56,30,30
bin-125,56,8,8
bin-149,56,28,28
bin-150,56,5,5
bin-151,56,2,2
bin-152,56,5,5
bin-153,56,2,2
bin-154,56,0,0
bin-155,56,2,2
bin-156,56,2,2
bin-157,56,2,2
bin-158,56,40,40
bin-159,56,0,0
bin-160,56,0,0
bin-161,56,0,0
bin-162,56,0,0
bin-163,56,0,0
bin-164,56,2,2
bin-165,56,2,2
bin-166,56,2,2
bin-167,56,2,2
bin-168,56,2,2
bin-169,56,2,2
bin-170,56,14,14
bin-171,56,37,37
bin-194,56,5,5
bin-195,56,5,5
bin-196,56,2,2
bin-197,56,2,2
bin-198,56,2,2
bin-199,56,5,5
bin-200,56,0,0
bin-201,56,2,2
bin-202,56,0,0
bin-203,56,0,0
bin-204,56,24,24
bin-205,56,0,0
bin-206,56,0,0
bin-207,56,0,0
bin-208,56,0,0
bin-209,56,0,0
bin-210,56,2,2
bin-211,56,0,0
bin-212,56,2,2
bin-213,56,2,2
bin-214,56,2,2
bin-215,56,2,2
bin-216,56,2,2
bin-217,56,5,5
bin-218,56,5,5
bin-238,56,21,21
bin-239,56,23,23
bin-240,56,2,2
bin-241,56,2,2
bin-242,56,2,2
bin-243,56,0,0
bin-244,56,2,2
bin-245,56,6,6
bin-246,56,0,0
bin-247,56,0,0
bin-248,56,0,0
bin-249,56,0,0
bin-250,56,0,0
bin-251,56,0,0
bin-252,56,0,0
bin-253,56,0,0
bin-254,56,0,0
bin-255,56,1,1
bin-256,56,0,0
bin-257,56,0,0
